"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"01000","5","7224","56","0","2015","1","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",261,1671,1673,1710,6119119,5400932,76660,279,"",0.48,0.35,0.34,0.34,0.39,0.38,0.34,1.12,"",1,0.4,111,7.1,29,1.8,63,3.8,319233,5.5,258005,5.0,1390,1.8,3,1.1
"01000","5","7224","56","0","2015","2","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",269,1765,1778,1756,6902926,3675831,52627,301,"",0.50,0.35,0.35,0.34,0.39,0.46,0.37,1.12,"",0,0.0,45,2.6,21,1.2,1,0.1,595805,9.4,13881,0.4,-3062,-5.5,23,8.3
"01000","5","7224","56","0","2015","3","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",267,1697,1724,1755,6670075,2503896,36180,297,"",0.49,0.33,0.34,0.34,0.36,0.41,0.33,1.07,"",-4,-1.5,-20,-1.2,-38,-2.2,-30,-1.7,128188,2.0,-79022,-3.1,-4351,-10.7,10,3.5
"01000","5","7224","56","0","2015","4","","Alabama -- Statewide","Private","Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",277,1690,1676,1651,7141343,2138730,31205,328,"",0.50,0.33,0.33,0.33,0.38,0.38,0.31,1.15,"",8,3.0,-71,-4.0,-36,-2.1,-3,-0.2,478349,7.2,-44225,-2.0,-3291,-9.5,28,9.3
"01003","5","7224","76","0","2015","1","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",21,148,153,177,646868,532517,7725,312,"",0.83,0.90,0.91,1.01,1.60,1.13,1.14,1.70,"",-1,-4.5,16,12.1,11,7.7,27,18.0,91871,16.6,83438,18.6,2908,60.4,10,3.3
"01003","5","7224","76","0","2015","2","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,205,213,216,1076425,458715,6898,392,"",0.87,1.14,1.15,1.13,2.17,1.23,1.12,1.91,"",-1,-4.3,52,34.0,39,22.4,45,26.3,304571,39.5,92791,25.4,2652,62.5,34,9.5
"01003","5","7224","76","0","2015","3","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,223,186,186,1013319,291637,4380,393,"",0.90,1.16,0.99,1.01,1.92,0.97,0.89,1.81,"",1,4.5,59,36.0,9,5.1,13,7.5,192077,23.4,41167,16.4,1022,30.4,24,6.5
"01003","5","7224","76","0","2015","4","","Baldwin County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,172,166,171,1010002,210500,3459,458,"",0.85,0.96,0.93,0.97,1.96,0.94,0.98,2.06,"",0,0.0,14,8.9,25,17.7,22,14.8,381221,60.6,40540,23.9,1144,49.4,134,41.4
"01015","5","7224","76","0","2015","1","","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,14,15,18,41052,41052,905,202,"",0.53,0.12,0.13,0.16,0.14,0.15,0.21,1.01,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","7224","76","0","2015","2","","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,20,22,21,61452,50566,1159,225,"",0.53,0.17,0.19,0.18,0.17,0.29,0.39,0.97,"",2,50.0,10,100.0,17,340.0,17,425.0,51265,503.2,40379,396.4,875,308.1,101,81.5
"01015","5","7224","76","0","2015","3","","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,19,20,21,56624,35073,738,218,"",0.44,0.16,0.17,0.18,0.16,0.28,0.34,0.95,"",0,0.0,13,216.7,12,150.0,13,162.5,38691,215.8,17140,95.6,270,57.7,30,16.0
"01015","5","7224","76","0","2015","4","","Calhoun County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,24,26,24,63297,33970,769,197,"",0.44,0.21,0.23,0.21,0.18,0.30,0.41,0.83,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","7224","76","0","2015","1","N","Coffee County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","7224","76","0","2015","2","","Coffee County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,5,5,5,9859,9859,162,152,"",0.83,0.12,0.12,0.12,0.09,0.12,0.13,0.76,"",1,33.3,1,25.0,1,25.0,1,25.0,-2430,-19.8,-1680,-14.6,59,57.3,-84,-35.6
"01031","5","7224","76","0","2015","3","N","Coffee County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","7224","76","0","2015","4","N","Coffee County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,0,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","7224","76","0","2015","1","N","Colbert County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","7224","76","0","2015","2","N","Colbert County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","7224","76","0","2015","3","N","Colbert County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","7224","76","0","2015","4","N","Colbert County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","7224","76","0","2015","1","N","Coosa County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","7224","76","0","2015","2","N","Coosa County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","7224","76","0","2015","3","N","Coosa County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","7224","76","0","2015","4","N","Coosa County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",1.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","7224","76","0","2015","1","N","Dale County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",1.52,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","7224","76","0","2015","2","N","Dale County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","7224","76","0","2015","3","N","Dale County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.76,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","7224","76","0","2015","4","N","Dale County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,0,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","7224","76","0","2015","1","N","Dallas County, Alabama","Private","Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
