"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","7224","56","0","2018","1","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",278,1777,1798,1820,7385634,6419080,70304,316,"",0.51,0.35,0.35,0.35,0.39,0.38,0.42,1.12,"",2,0.7,27,1.5,12,0.7,0,0.0,109637,1.5,90045,1.4,-14778,-17.4,3,1.0
"01000","5","7224","56","0","2018","2","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",287,1886,1850,1814,7823560,3957813,43415,325,"",0.53,0.36,0.35,0.34,0.37,0.46,0.45,1.06,"",9,3.2,95,5.3,30,1.6,-8,-0.4,114192,1.5,19812,0.5,-8746,-16.8,-2,-0.6
"01000","5","7224","56","0","2018","3","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",294,1871,1908,1932,8098614,2891972,34539,327,"",0.54,0.35,0.35,0.36,0.37,0.44,0.44,1.05,"",13,4.6,68,3.8,79,4.3,81,4.4,441327,5.8,259581,9.9,-1238,-3.5,5,1.6
"01000","5","7224","56","0","2018","4","","Alabama -- Statewide","Private","NAICS 7224 Drinking places, alcoholic beverages","State, NAICS 4-digit -- by ownership sector","All establishment sizes",297,1984,1994,1938,9033148,2479578,31908,352,"",0.54,0.37,0.38,0.37,0.41,0.40,0.42,1.10,"",9,3.1,93,4.9,137,7.4,132,7.3,1065616,13.4,179559,7.8,768,2.5,21,6.3
"01001","5","7224","76","0","2018","1","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2018","2","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2018","3","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2018","4","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7224","76","0","2018","1","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,153,152,160,742290,613658,8335,368,"",0.86,0.84,0.81,0.82,1.44,1.03,1.63,1.76,"",1,4.5,-34,-18.2,-37,-19.6,-42,-20.8,-238202,-24.3,-151284,-19.8,-4195,-33.5,-23,-5.9
"01003","5","7224","76","0","2018","2","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",22,170,165,180,955023,416488,5947,428,"",0.82,0.85,0.81,0.86,1.50,0.97,1.32,1.79,"",0,0.0,-7,-4.0,-20,-10.8,-22,-10.9,-25939,-2.6,10464,2.6,-164,-2.7,27,6.7
"01003","5","7224","76","0","2018","3","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",20,169,170,172,940344,282404,3964,425,"",0.74,0.80,0.82,0.86,1.44,0.85,1.13,1.74,"",-2,-9.1,-18,-9.6,-15,-8.1,-4,-2.3,-40263,-4.1,46894,19.9,-124,-3.0,12,2.9
"01003","5","7224","76","0","2018","4","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",23,172,192,199,1078292,264957,4998,442,"",0.84,0.86,0.97,1.02,1.65,1.04,1.90,1.74,"",1,4.5,-10,-5.5,26,15.7,49,32.7,296459,37.9,109831,70.8,2310,85.9,80,22.1
"01015","5","7224","76","0","2018","1","N","Calhoun County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","7224","76","0","2018","2","N","Calhoun County, Alabama","Private","NAICS 7224 Drinking places, alcoholic beverages","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
