"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","7224","56","0","2023","1","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",334,2551,2680,2670,15906503,12164442,85793,465,"",0.60,0.47,0.49,0.48,0.57,0.55,0.67,1.19,"",9,2.8,172,7.2,212,8.6,190,7.7,2522922,18.9,1564675,14.8,-30775,-26.4,43,10.2
"01000","5","7224","56","0","2023","2","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",342,2756,2706,2690,16640806,5939581,53940,471,"",0.61,0.49,0.48,0.47,0.54,0.68,0.80,1.13,"",24,7.5,246,9.8,295,12.2,317,13.4,2405823,16.9,757767,14.6,-8164,-13.1,21,4.7
"01000","5","7224","56","0","2023","3","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",344,2675,2705,2817,16692877,4380439,38530,470,"",0.61,0.46,0.47,0.49,0.53,0.58,0.65,1.12,"",20,6.2,315,13.3,262,10.7,267,10.5,1434803,9.4,462210,11.8,-10983,-22.2,-9,-1.9
"01000","5","7224","56","0","2023","4","","Alabama -- Statewide","Private","NAICS 7224 Drinking places (alcoholic beverages)","State, NAICS 4-digit -- by ownership sector","All establishment sizes",355,2808,2855,2726,18051203,3732134,34697,497,"",0.62,0.49,0.50,0.49,0.57,0.53,0.61,1.16,"",26,7.9,211,8.1,272,10.5,225,9.0,1902667,11.8,11448,0.3,-16392,-32.1,12,2.5
"01001","5","7224","76","0","2023","1","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2023","2","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2023","3","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","7224","76","0","2023","4","N","Autauga County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","7224","76","0","2023","1","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",29,216,229,228,1486421,1113941,8609,510,"",1.00,1.03,1.07,1.04,1.72,1.28,1.77,1.65,"",0,0.0,50,30.1,31,15.7,30,15.2,318344,27.3,191489,20.8,-334,-3.7,30,6.2
"01003","5","7224","76","0","2023","2","","Baldwin County, Alabama","Private","NAICS 7224 Drinking places (alcoholic beverages)","County, NAICS 4-digit -- by ownership sector","All establishment sizes",30,229,233,250,1677758,543334,6128,544,"",1.01,1.02,1.02,1.06,1.66,1.24,2.06,1.60,"",2,7.1,28,13.9,35,17.7,52,26.3,362493,27.6,88752,19.5,839,15.9,36,7.1
