"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","2","722513","58","0","2024","1","","Alabama -- Statewide","State Government","NAICS 722513 Limited-service restaurants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",37.45,0,0,0,0,0,0,0,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"01000","2","722513","58","0","2024","2","","Alabama -- Statewide","State Government","NAICS 722513 Limited-service restaurants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",37.70,0,0,0,0,0,0,0,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"01000","2","722513","58","0","2024","3","","Alabama -- Statewide","State Government","NAICS 722513 Limited-service restaurants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",37.85,0,0,0,0,0,0,0,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"01000","5","722513","58","0","2024","1","","Alabama -- Statewide","Private","NAICS 722513 Limited-service restaurants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4839,81481,82069,82737,406876665,341328866,1335851,381,"",1.36,1.33,1.32,1.32,1.46,1.52,1.77,1.10,"",176,3.8,816,1.0,512,0.6,1313,1.6,21403004,5.6,13640353,4.2,-158507,-10.6,16,4.4
"01000","5","722513","58","0","2024","2","","Alabama -- Statewide","Private","NAICS 722513 Limited-service restaurants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4826,83813,84930,84566,429399723,207852648,912582,391,"",1.36,1.33,1.34,1.33,1.40,2.43,2.47,1.05,"",133,2.8,1594,1.9,1869,2.3,1166,1.4,22024950,5.4,6292550,3.1,-100523,-9.9,13,3.4
"01000","5","722513","58","0","2024","3","","Alabama -- Statewide","Private","NAICS 722513 Limited-service restaurants","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4906,85488,85075,84205,436045926,152200314,769870,395,"",1.38,1.34,1.34,1.36,1.37,2.13,2.37,1.02,"",239,5.1,2311,2.8,2159,2.6,1986,2.4,22639380,5.5,3366291,2.3,-38716,-4.8,11,2.9
"01001","5","722513","78","0","2024","1","","Autauga County, Alabama","Private","NAICS 722513 Limited-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",36,893,875,886,4020846,3452110,9083,350,"",1.46,2.50,2.45,2.45,3.05,3.01,2.18,1.24,"",0,0.0,68,8.2,3,0.3,42,5.0,65158,1.6,1480,0.0,-2296,-20.2,-9,-2.5
"01001","5","722513","78","0","2024","2","","Autauga County, Alabama","Private","NAICS 722513 Limited-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",36,877,893,874,4234539,2167752,5692,370,"",1.45,2.38,2.39,2.33,2.80,4.57,3.08,1.19,"",0,0.0,42,5.0,23,2.6,4,0.5,-98542,-2.3,-52139,-2.3,-1734,-23.4,-18,-4.6
"01001","5","722513","78","0","2024","3","","Autauga County, Alabama","Private","NAICS 722513 Limited-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",37,873,873,849,4230996,1523570,4192,376,"",1.49,2.33,2.31,2.31,2.81,3.78,2.41,1.21,"",1,2.8,-14,-1.6,-9,-1.0,23,2.8,51949,1.2,29582,2.0,-878,-17.3,4,1.1
"01003","5","722513","78","0","2024","1","","Baldwin County, Alabama","Private","NAICS 722513 Limited-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",226,3288,3346,3465,17909165,15080361,69363,409,"",1.18,1.35,1.36,1.37,2.01,1.66,2.24,1.47,"",7,3.2,-10,-0.3,31,0.9,124,3.7,466384,2.7,278748,1.9,-6493,-8.6,5,1.2
